0;0;0;0;
6.57;0;6.57;0;
6.39;0;6.39;0;
7.8;0;7.8;0;
7.98;0;7.98;0;
8.13;0;7.98;0;
9.55;0;7.98;0;
10.29;0;7.98;0;
11.82;0;7.98;0;
12.28;0;7.98;0;
12.28;0;7.98;0;
13.61;0;7.98;0;
14.96;0;7.98;0;
14.98;0;7.98;0;
12.73;0;7.98;0;
13.4;0;7.98;0;
14.97;0;7.98;0;
12.23;0;7.98;0;
10.29;0;7.98;0;
11.03;0;7.98;0;
10.3;0;7.98;0;
9.21;0;7.98;0;
9.13;0;7.98;0;
6.98;0;7.98;0;
0;0;7.98;0;
6.57;0;7.98;0;
6.39;0;7.98;0;
7.8;0;7.98;0;
7.98;0;7.98;0;
8.13;0;7.98;0;
9.55;0;7.98;0;
10.29;0;7.98;0;
11.82;0;7.98;0;
12.28;0;7.98;0;
12.28;0;7.98;0;
13.61;0;7.98;0;
14.96;0;7.98;0;
14.98;0;7.98;0;
12.73;0;7.98;0;
13.4;0;7.98;0;
14.97;0;7.98;0;
12.23;0;7.98;0;
10.29;0;7.98;0;
11.03;0;7.98;0;
10.3;0;7.98;0;
9.21;0;7.98;0;
9.13;0;7.98;0;
6.98;0;7.98;0;
0;0;7.98;0;
6.57;0;7.98;0;
6.39;0;7.98;0;
7.8;0;7.98;0;
7.98;0;7.98;0;
8.13;0;7.98;0;
9.55;0;7.98;0;
10.29;0;7.98;0;
11.82;0;7.98;0;
12.28;0;7.98;0;
12.28;0;7.98;0;
13.61;0;7.98;0;
14.96;0;7.98;0;
14.98;0;7.98;0;
12.73;0;7.98;0;
13.4;0;7.98;0;
14.97;0;7.98;0;
12.23;0;7.98;0;
10.29;0;7.98;0;
11.03;0;7.98;0;
10.3;0;7.98;0;
9.21;0;7.98;0;
9.13;0;7.98;0;
6.98;0;7.98;0;
